race,g1classsize,g1treadss,g1tmathss
1, , , 
1,27,442,454
1,15,571,627
1,22,536,535
1, , , 
1, , , 
1, , , 
1,22,468,456
1,24,450,451
1, , , 
1,15,433,441
1,23,558,542
2,23,519,557
1,23,530,549
1,18,490,538
1,14,490,545
2,23,516,535
1,23,477,535
1,26,503,515
1,23,477,505
2,23,533,529
1,24,548,567
1,23,548,553
1,23,485,542
1,23,428, 
1,15, ,439
2,23,472,500
1,21,604,538
1,23,485,495
2, , , 
1,23,501,584
1,24,503,529
2, , , 
1,23,497,481
1,21,558,572
1,13,509,502
1, , , 
1,22,514,612
1,21,527,592
1,21, , 
 , , , 
1,21,548,578
2,28,450,451
1, , , 
2, , , 
2, , , 
1,22,477,495
2,25,431,458
1, , , 
1, , , 
1, , , 
2, , , 
2,23,456,538
2, , , 
2,22,477,510
1, , , 
2, , , 
2, , , 
1,22,497,542
1,17,558,627
1, , , 
1,24,512,542
1, , , 
1,27,487,472
1, , , 
1,22,495,545
1,22,492,542
1,23,490,529
1,22,509,545
1,20, ,553
1,22,651,627
1,15,439,449
1,22,482,549
1,22,501,562
1,21,533,490
1,21,558,542
1, , , 
1, , , 
1,28,468,520
1,21,629,627
1,17,428,444
1,20,564,510
1,23,475,512
1, , , 
1,24,490,523
1,23,564,535
1,26,462,490
1, , , 
1,15,536,578
1,23,516,542
1,25,527,557
1,25,548,572
1,23, ,472
1,29, ,553
1, , , 
1,30, ,518
1,29, ,538
1, , , 
1,29, ,510
1, , , 
1,25,558,612
1,17, ,542
1,19, , 
1,17, ,584
1,17,512,567
1,29, ,535
1,30, ,493
1, , , 
1,21,460,500
1,21,590,553
1,13,651,627
2,22, ,578
1,23,604,553
2, , , 
1,17,487,484
1,17,579,592
1,16,553,553
2,20,485,502
2,22,519,567
1,20,527,612
1,15,564,601
2,22,494,490
1,15,604,653
1,21,533,535
1,20,579,578
1,14,527,562
1,17,604,567
1, , , 
1,17,604,535
1,26,536,578
1,21,590,572
2,13,490,520
2, , , 
2, , , 
1,21,485,545
1,22,579,562
2,17,530,451
1,24,604,532
2,22,540,572
1,22,514,562
1,24,604,545
1, , , 
2,21,431,439
1,21,519,497
2, , , 
1,22,474,545
1, , , 
1,22,414,441
1,21,530,549
1,13,629,578
1,14,490,538
1,24,492,526
1, , , 
1,23,524,542
1,23,548,538
1,20,448,425
1, , , 
1, , , 
1,15,488,549
1,22, ,470
1,17,604,601
1,17,604,572
2, , , 
1,14,499,481
1, , , 
1, , , 
1,17,441,472
1,24,553,592
1,16,462,481
1,23,439,439
1, , , 
1,14,450,463
1,22,651,567
1,26,448,458
1,26,471,538
1, , , 
1,23,447,439
1,24, ,463
1, , , 
1,16,590,592
1,22,521,549
1,22,564,562
1,22,501,549
1,23,629,567
1,21,509,518
1,21,453,549
1, , , 
1,26,480,488
1,26, ,502
1,23, ,523
1,21,629,592
1,21, ,502
1,21,544,567
1,22,651,584
1,22,509,562
1,13,442,481
2, , , 
1, , , 
1,17,466,507
1, , , 
1,15,524,529
2,21,651,676
1,14,604,653
1,22,604,653
1,22,571,612
1, , , 
1, , , 
1, , , 
1,22,629,601
2, , , 
2, , , 
1,21,629,592
1, , , 
1,22,530,557
1,28,480,500
1,16,651,592
1,28,480,490
1,21,536,529
1, , , 
1, , , 
1, , , 
1,13,629,549
1,22,514,505
1,15,524,549
1, , , 
1,24,497,523
1,14,571,567
1, , , 
1,21,604,567
1,13,505,542
2, , , 
2,21,558,553
1, , , 
2, , , 
2, , , 
1,23,571,549
1, , , 
1,23,558,572
2, , , 
1,21,482,535
1,21,471,481
1, , , 
1, , , 
1, , , 
1,24,544,567
1,17,571,529
1,21,524,526
1, , , 
1,24, , 
1,22,553,532
1,14,571,584
1,26,533,553
1,14,540,572
1,27,540,557
1,13,457,472
1, , , 
1, , , 
1, , , 
1,13,516,532
1,22,527,567
1,24,536,510
1,23,519,493
1,14,579,612
1,13,501,532
1,29, , 
1,17,527,549
1, , , 
1,17,548,592
1,21,469,535
1, , , 
1,25,505,567
1, , , 
1,25,579,612
1,16,629,676
2, , , 
1,27,514,557
1,25,451,493
2,26,463,510
1,26,533,518
1,17,629,627
1,22,521,549
1,22,501,502
1,17,553,535
1,26,544,542
1,13,530,567
1,26,490,545
2, , , 
1,16,564,553
2,14,453,507
1,15,651,653
1,22,651,612
1,17,519,567
1,16,604,592
2,22,519,562
1,17,629,592
1, , , 
1,26,571,567
1,24,499,518
1,17,490,584
1,21,579,557
1, , , 
1,22,590,612
2,28,453,486
2,20,553,578
1,21,507,502
1,24,540,512
1,26,629,567
1,22,629,601
1, , , 
1,15,579,627
1,19,451,500
1, , , 
1, , , 
1,21,604,627
1,22,540,557
1,14,516,518
2,16,475,512
1,22,475,542
1, , , 
1,25,536,562
2,20,454,458
1,20,494,526
1,16,571,567
1,22,564,515
1,15,629,538
1,22,475,490
1,17,590,592
1,21,521,505
1,16,492,535
1, , , 
1,24,629,584
1,16,536,523
1, , , 
1,17,564,567
1,17,533,535
1,17,629,601
1,22,564,535
1,15,590,553
1,23,590,515
1, , , 
1,20,548,535
1, , , 
1, , , 
1,21,604,529
1,22,488,497
1, , , 
1, , , 
1,22,571,562
1,21,474,477
1,22,465,515
1,16,439,484
1,22,442,486
1,23,558,562
1,23,629,562
1,23,590,584
1,23,487,549
1,22,564,578
1,24,590,557
1,17,579,578
1,25,553,553
1,17,604,584
1,25,571,557
1,17,604,567
1,25,516,545
1,24,548,542
1, , , 
2,17,564,542
1,24,544,542
1,23,579,557
1, , , 
1,22,590,584
1, , , 
1,17,497,627
2,18,483,520
1, , , 
1, , , 
1,21,468,545
1, , , 
1,26,471,507
1,27,571,549
2, , , 
1,26,629,578
1,26,558,557
1,23,590,612
1, , , 
1, , , 
1,29,490,535
1,26,651,578
1,17,590,578
1, , , 
1,17,524,562
1,26,521,538
1,21,651,676
1, , , 
2, , , 
1,22, ,497
1,17,495,526
1, , , 
1,13,524,545
1,24,516,512
1,20,540,572
1, , , 
1, , , 
1,23,527,549
1, , , 
1,23,590,578
1,20,579,553
1,20,463,493
1,14,590,520
1,23,454,500
1,25,629,553
2,22, ,444
1, , , 
2,16,488,468
1,15,651,601
2,21,530,505
1,23,579,592
1,23,629,592
1,23,544,529
1,23,571,627
1, , , 
2,26,530,490
1,26,475,470
1, , , 
1,22,495,549
1,23,544,653
1,21, ,474
1,22,488,484
2,22,564,567
1,19,553,535
1,23,590,592
1, , , 
1,16,544,601
1,16,571,567
1,16,590,553
1,23,604,592
1,15,558,538
1,15,604,627
1,15,579,578
1,18,512,553
2,26,514,529
1,14,430,425
1,23,590,627
1,19,590,627
1,23,456,562
1,23,629,627
1,23,507,542
1,23,490,584
1,25,548,567
1,26,579,572
1, , , 
1, , , 
1,15,492,523
1,20,456,512
1,23,544,545
1,22,629,653
1,23,497,572
1,22,519,553
1,13,558,545
1,22,544,562
1,14,514,584
1,21,462,542
2,23,423,463
1,23,492,502
1,27,490,477
1, , , 
1,26,571,567
1,14,553,601
1,22,492,549
1,16,553,553
1,22,651,578
2,22,544,549
1,20,533,562
1,21,604,523
1,15,503,562
1,25,536,529
2,18,441,444
1,15,501,553
1,21,533,520
1, , , 
1,21,629,572
1, , , 
1,21,512,529
1,17,629,584
1,21,579,557
1,21,571,535
1,21,629,592
1,21,536,562
1,15,590,612
1, , , 
2, , , 
2,21,558,567
2, , , 
2, , , 
2, , , 
2,26,459,461
2, , , 
2,25,469,486
2,22,448,515
2,19,530,538
2,22, ,465
2, , , 
2,24,553,523
2, , , 
1,25,503,451
2, , , 
2, , , 
2,24,475,520
2,22,482,481
2,25,530,523
2, , , 
1, , , 
2,24,480,493
2, , , 
2,23,425,468
1,17,548,549
1, , , 
1,22,519,562
1,14,558,557
1,21,558,592
1, , , 
1,24,604,578
1,23,548,584
1,23,530,553
1,21,571,545
1, , , 
1,13,564,545
1,13,505,518
1, , , 
1,22,494,562
1, , , 
1,22,475,529
1,15,553,535
1,22,501,515
1,23,571,584
1, , , 
1,23,604,578
1,22,442,463
1,13,564,578
1,15,472,507
1, , , 
1, , , 
1, , , 
1, , , 
1, , , 
1,22,507,557
1, , , 
1,20,604,529
1,21,472,474
1,17,579,553
1,17,503,505
1,22,544,601
1,22,509,529
2, , , 
1,17,579,584
1,25,444,472
1,27,495,542
1,17,527,500
1,23,536,601
1,17,497,523
1,23,604,592
1,24,558,553
1,23,548,549
1,16,492,477
1,23,553,526
1,16,651,584
1, , , 
1,23,469,497
1,21,533,542
1, , , 
1,14,530,567
1, , , 
1,18,590,578
1,15,497,529
1,22,604,549
1,17,540,567
1,22,604,578
1,22,590,572
1,22,564,557
1,22,530,549
1,23,604,542
1,21,439,493
2,28,463,484
1,24,527,562
1, , , 
2, , , 
1, , , 
1, , , 
2,24,448,497
1,21,579,553
1,21,483,526
1,23,553,592
1, , , 
1,23,548,549
1,19, , 
1,17,629,612
1,25,540,523
1,19, ,538
1,29, ,553
1,17, ,549
1,19, ,529
1,30, ,578
 ,29, , 
1, , , 
1, , , 
1, , , 
1, , , 
1,26,521,562
1,14,490,532
1,21,544,592
1, , , 
1,16,629,578
2,19,530,507
1,26,564,549
1,25,472,500
1,17,629,592
1,14,579,653
1,15,540,523
1, , , 
1, , , 
1,23,558,545
1,26,604,549
1,17,524,584
1,17,651,601
1,22,571,572
1,17,516,584
1,21,494,493
1,14,495,553
2, , , 
1,17,465,538
1, , , 
1, , , 
1, , , 
1, , , 
1,20,604,578
1, , , 
2,25,548,538
1,20,533,601
1,23,571,612
1,23,604,612
1,21,436,497
1,25,536,523
1,15,651,676
1,17,465,490
1,22,590,578
1,16,590,592
1,22,590,653
1,21,558,542
1,22,651,572
1,16,564,549
1,20,519,542
1, , , 
1, , , 
2,20,451,474
1,22, , 
1,29, ,584
1,25,490,532
1,16,530,497
1, , , 
1,22,497,500
1,15,629,676
1,24,579,520
1, , , 
1,20,579,612
1, , , 
1,17,544,523
1,16,651,584
1,13,521,538
1,22,548,532
1,13,629,584
1, , , 
1, , , 
1,21,536,512
1,24,629,601
1,21,629,553
1, , , 
1, , , 
1,25, , 
1,17,527,520
2, , , 
1, , , 
1,23,558,549
1,21,482,515
1,13,651,592
2, , , 
1,17,485,553
1,23,495,523
1, , , 
1,16,505,532
1,26,553,601
1,23,519,545
2,22,487,538
1, , , 
1,15,651,601
1,24,482,520
1,17,540,567
1, , , 
1, , , 
6,25,579,592
1,14,604,584
1,23,521,505
1,23,590,562
1,17,488,523
1, , , 
1,15,604,584
1,23,590,538
1,23,507,488
1,26,533,477
1,15,548,562
2, , , 
1, , , 
1,17,571,557
1, , , 
1, , , 
2,26,521,502
1,27,460,486
2,24,530,567
2, , , 
1,23,509,535
1,26,482,535
2,29,445,449
1,29,456,477
1,14,485,507
1,23,651,567
1,24,604,572
1,24,483,553
1,24,448,465
1,23,558,572
1,17,501,545
1,24,497,507
1,25,544,510
1,23,540,592
2,23,438,474
1,23,453,488
1,25,629,627
1,17,466,456
2, , , 
1,18,571,523
1,23,558,592
1,25,490,532
1,23,604,567
1,21,445,495
1, , , 
1,19,579,578
1,22,604,572
1, , , 
1,23,651,612
1,23,558,584
1,21, ,553
1,23,651,601
1,22,512,495
2,21,533,518
1,18,651,627
1,15,579,592
1,23,485,497
1,13,521,520
1,23,431,472
1,22,519,553
1,14,456,490
1,15,472,495
1,23,477,484
1, , , 
1,21,651,612
1,23,604,584
1,14,544,545
1,24,590,578
1,24,516,520
1,21,548,526
1, , , 
1,23,629,562
1,17,501,526
1,14,629,584
1,15,509,553
1, , , 
1, , , 
1,26,521,481
1,17,651,627
1,26,451,518
1, , , 
1,26, ,557
1,18,629,601
1,14,604,627
1,20,514,578
2,20,579,502
1,16,553,557
1,20,651,653
2,16,514,535
1,22,521,557
1,14,629,601
1, , , 
1, , , 
1,20, ,477
1,21,436,477
1,17,590,584
1,21,604,553
1,15,629,584
1,21,524,510
1,20,629,572
1,25,553,545
1,16,604,572
1,27,579,567
1,22,494,545
1,13,548,529
1, , , 
1,13,527,500
1, , , 
1, , , 
1,22,540,553
2,17,472,507
1,25,472,538
2, , , 
2,12,488,538
2, , , 
2,22,412,430
2,25,454,510
2, , , 
2,24,483,493
2,21,445,468
2, , , 
2,12,453,470
1, , , 
2,26,548,520
1,18,494,601
2,22,540,572
2,17,544,567
2,21,488,523
2,17,516,562
2, , , 
2,16,604,572
2,13,590,518
2, , , 
2,19,503,520
2,21,524,512
2,15,478,500
2, , , 
1, , , 
2, , , 
2,16,553,627
2,20,428,470
2,17,490,538
2, , , 
2,17,448,477
2, , , 
2,25,483,505
2,22,469,490
2, , , 
1, , , 
1,30, ,567
2,17,533,545
1,25,519,535
1,24,453,505
2, , , 
2,22,457,495
2,24,530,495
2, , , 
1,22,519,535
1,21,512,562
2,17,466,472
1,27,505,545
1,14,651,612
1,22,478,505
1,27,514,553
1,22,604,653
1,14,501,520
1,14,629,653
1,14,558,612
1,27,571,553
2,22,501,518
1,20,501,532
1,21,548,542
1, , , 
1,23,477,515
1,22, , 
1, , , 
1,23,558,495
1,15,629,553
1,22,629,612
1,15,571,578
1, , , 
1, , , 
1, , , 
1,23,533,526
1,22,509,523
1,23,558,584
1, , , 
1,13,465,490
1, , , 
1,15,579,518
1,21,519,542
2, , , 
2, , , 
2,27,536,518
2,27,494,472
1,24,521,562
1,14,465,472
1,28,548,553
1,22,553,572
1,28,488,474
1,27,505,520
1,27,472,497
1,15,571,542
1,24,503,538
1,23,629,592
1, , , 
1,22,503,512
1, , , 
1,23,590,572
1,21,454,468
1,28,456,493
1,23,533,532
1,27,540,567
2,22,444,461
1,21,604,578
1,21,629,592
1,15,629,572
1,19,483,557
2, , , 
1,16,516,500
1, , , 
1, , , 
1,22,516,535
1, , , 
1,27,590,567
1,24,629,572
1,14,629,601
1,23,487,507
1, , , 
1,17,604,676
1,13,629,584
1,21,507,500
1,22,540,518
2,20,472,486
1,24,629,572
1,21,629,520
1,17,651,592
1,23,558,572
1,17,497,477
1,14,579,572
1, , , 
1,23,471,502
1,14,548,520
1,23,604,592
2, , , 
1, , , 
1,22,651,584
2,22,480,512
1,23,472,481
1,15,499,515
1,22,651,653
1,26,564,592
1,15,527,532
2,14,507,493
1,18,495,523
1,19,478,515
1, , , 
2, , , 
1,19,604,572
1, , , 
1,13,571,584
1, , , 
2,25,514,493
2,25,521,510
2,18,571,545
2,24,544,584
2,26,503,488
2,25,478,470
2, , , 
2,22,468,523
2, , , 
1,22,579,572
1, , , 
1, , , 
2, , , 
1, , , 
2, , , 
1, , , 
1,23,604,592
2,16,590,584
1,13,651,612
2, , , 
2, , , 
2,24,450,472
2,25,444,488
1, , , 
1, , , 
1,24,436,472
1,23,447,515
2,17,457,512
2,13,469,477
2, , , 
2,23,521,578
1,27,456,490
1,15,474,500
2, , , 
2,13,466,500
2, , , 
2, , , 
2,17,512,507
2,14,512,538
2,24,544,545
2,24,516,461
1,13, , 
2,24,487,493
1,23,459,479
2,22,536,507
1, , , 
1,13,463,470
2,17,548,538
2,22,474,497
2, , , 
2,15, ,507
2,29,448,507
1,17,544,572
1,17,629,592
1,24,499,518
1, , , 
1,15,548,495
2, , , 
2, , , 
1,23,651,627
1,22,436,488
2,24,466,526
2,17,558,538
1, , , 
1,15,544,572
1,21,499,523
1, , , 
2,24,447,451
1, , , 
2,26,445,518
1, , , 
1,21, , 
1,22,456,488
2,23,465,507
2,22,462,488
2, , , 
2, , , 
2,25,490,520
2,23,482,479
1,15,462,532
2,25,492,526
2, , , 
1, , , 
3,22,651,601
2,22,480,493
1, , , 
2,26,483,458
1, , , 
2, , , 
1,15,463,526
2,21,462,472
1,18,469,518
2,17,590,601
1,26,571,479
1, , , 
1,17,497,545
2,21,514,479
1,13,553,532
1,17, ,538
2,23,521,562
1,21,536,532
2, , , 
1,23,442,481
2,21,442,468
1,22,505,512
2,20,516,542
1,22,629,578
1,21,436,449
1, , , 
1,15,434,477
2,25,459,463
1,21,445,500
1,15,492,505
1,23,475,505
1,26,492,497
2,24,485,532
2, , , 
2,17,514,470
2,21,501,538
2,24,564,493
2,20,448,518
2,15,590,535
2,16,579,529
2,23,521,505
1,19, ,538
1,26,472,510
1,23,492,512
2,15,533,518
2,17,579,584
2,22,533,529
2,20,516,529
2, , , 
2,21,629,538
2, , , 
1, , , 
2,22,487,542
1, , , 
2,17,497,557
2,21,469,479
1,22,553,484
1,23,521,502
2,20,590,535
2,24,447,439
2,26,447,465
1, , , 
1,16,421,474
2,22,459,502
1,27,468,505
2,29,423,446
2,29, ,523
2,22,434,502
1,27,456,510
2,29,527,612
1, , , 
2,26,478,497
2,24,512,500
1, , , 
2, , , 
2,18,564,502
2,24,474,512
2,23,509,578
2, , , 
1, , , 
2, , , 
2, , , 
1, , , 
2,23,465,484
1,20, ,545
2, , , 
1,17, , 
1,23,571,601
2, , , 
1,19,530,557
1, , , 
1, , , 
2, , , 
1,28,571,567
1,22,536,557
2, , , 
1,24, , 
2,17,492,526
2,20,497,529
2,17,524,490
1,25,414,451
1, , , 
1,19,480,515
1, , , 
1, , , 
2,24,503,507
1, , , 
2,17,478,493
1,25,442,470
1, , , 
1,21, , 
1, , , 
1, , , 
2,20,514,535
2, , , 
1,19,533,584
1,17,629,627
2,21,514,545
1,17,540,557
1,15,524,535
1, , , 
2, , , 
2,22,524,510
2,22,475,479
2,17,471,500
1,28,530,512
2,13,436,456
1, , , 
1,27,451,497
2,21,499,518
1,15,564,512
2,17,456,520
2, , , 
1,23,540,535
2, , , 
1,15,558,497
1, , , 
1,16,509,553
2,17,466,488
1,24,629,612
1,16,604,529
1,15,494,529
2,21,480,526
1,23,533,567
1,23,463,520
2, , , 
2,12,651,592
1, , , 
2,25,465,495
2,24,499,562
2,17,524,549
1,13,629,592
1, , , 
1,23,564,538
1,26,629,553
1,22,482,515
1,23,571,601
1,23,544,572
2,16,553,601
1,21,629,612
2,17,629,601
1, , , 
1, , , 
1, , , 
1,24,604,567
1,13,629,627
2,16,564,572
1,22,571,562
1,13,463,523
1,23,495,532
1, , , 
1,17, ,493
1,19, ,493
1,27,530,584
1,19, ,572
1,30, ,542
2,24,516,507
2,23,521,592
2,17,629,584
1,14,492,557
1,17, , 
2, , , 
1,23,558,526
2,22,462,490
2,22,439,465
1,17,553,592
1,22,544,562
1,21,501,553
1, , , 
2,21,459,472
2, , , 
2,22,544,518
2, , , 
2,24,524,542
1, , , 
1,14,564,612
2, , , 
2, , , 
2,21,465,523
2, , , 
2, , , 
2,15, , 
2,17,604,557
1, , , 
2,12,558,557
2,15,438,477
2, , , 
2, , , 
1,21,629,526
2,17,480,454
2,21,488,515
2, , , 
1, , , 
1, , , 
2,16,571,578
1,25,629,627
1, , , 
1,25,482,572
2,22,629,592
1,25,501,562
2,17,571,512
2,23,490,502
2, , , 
1,22,590,627
1,23,579,567
1,14,604,601
1,21,487,474
1,17,501,553
2,23,521,532
1,16,579,567
2,15,482, 
1,25,629,557
2, , , 
2,23,474,468
2, , , 
1, , , 
1, , , 
2,24, , 
1, , , 
2, , , 
2,19,590,584
2,22,495,512
1,27,579,553
1,24,434,500
1, , , 
2,22,453,486
2,17,499,520
2,21,475,486
1,17,590,562
1,19,564,502
2,17,439,477
1, , , 
2,17,495,512
2,24,457,474
1, , , 
2,21,514,512
2,26,497,474
1,17,519,512
1, , , 
1, , , 
2,17,544,520
2,19,571,545
2,24,465,505
1,30, ,557
2,23,548,523
1,17,509,562
1, , , 
1,17,564,592
2,23,536,538
2,15,590,553
2, , , 
1,21,579,567
2, , , 
1, , , 
2,17,651,627
2,22,448,486
2,25,519,523
2,16,536,518
1,24, ,481
2,24,530,529
2,18,519,549
2,15,483,545
2,23,475,542
1,21,501,497
2,24,482,538
1,25,536,567
1,18,471,486
2,22,472,515
1,21,477,505
1, , , 
2,21,459,481
2, , , 
2,17,459,512
1,25,527,535
2,24,468,515
1,14,548,518
1,23,590,557
1,26,579,567
2,21,590,526
1,25,503,507
1,27,524,567
1,18,590,578
1, , , 
1,17,544,520
1,22,571,538
1,15,571,592
2,15,497,497
2, , , 
1, , , 
1,15,482,562
1,15,507,538
2, , , 
2,24,468,486
1,26,494,526
1,22,651,676
2,12,604,601
2,22,490,493
2, , , 
1,21,558,549
2,23,544,572
1,16,604,572
1, , , 
2,26,492,495
2,15,454,458
2,21,579,572
1,23, , 
1,16,460,500
1, , , 
2,24,499,553
1,22,604,578
1,16,590,584
1, , , 
1,23,483,545
2,22,488,523
2,16,536,515
2,24,454,486
1,22,579,601
2,21,505,523
2,24,474,481
2, , , 
1, , , 
2,24,451,486
2, , , 
1, , , 
1,23,492,500
1,21,533,553
1,16,509,567
1,23,492,523
1,23,468,484
2,12,524,567
1,22,450,465
1,16,548,545
1,24,629,578
1,21,475,477
2, , , 
1,22,530,549
2, , , 
2, , , 
1,15,442,463
2, , , 
2,20,494,584
2,20,548,520
2,19,478,493
1,14,548,557
1,20, , 
2,24,492,562
1,17,579,505
 ,26, , 
2,21,433,481
1,23,521,497
1, , , 
1,16,533,538
1,22,651,562
1,22,629,612
1,17,485,535
2,24, , 
1,24,553,627
2, , , 
1,21,629,653
2,25,428,456
2,22,442,465
2,24,514,567
2,15,438,436
2,24,459,512
2, , , 
2,15,453,461
2,25,451,481
2, , , 
2,17,463,470
1,22,501,578
1,15,530,601
1,17,604,592
2,22,480,553
2, , , 
1,17,604,572
1,26,536,592
1,15,553,584
1,25,590,592
2,24,468,477
1, , , 
1,21,604,572
2,19,438,446
2, , , 
2, , , 
1,23,544,549
1,17,629,612
2,15,536,549
1,17,590,601
2,25,474,538
1,20,469,507
1,21,604,612
2, , , 
1, , , 
2, , , 
2,21,571,584
1, , , 
1, , , 
1,17,629,584
2, , , 
1,17,564,584
1, , , 
2, , , 
2,17,497,507
2,17,475,490
2,24,533,529
1, , , 
2,24,604,592
1, , , 
2,22,478,510
1,17,521,545
1,15,524,529
1,14,487,497
2, , , 
1, , , 
2,15,521,553
2, , , 
2,24,564,523
2,17,480,500
1,21,590,512
2,15,505,472
2,25,457,510
2,26,483,502
2, , , 
2,21,485,505
2,16,494,512
2,24,474,422
1, , , 
2,24,604,562
1,17,629,567
1, , , 
2, , , 
1, , , 
2,22,519,486
2, , , 
1,23,477,515
1,21,564,584
1, , , 
2, , , 
1, , , 
1,17,468,545
1, , , 
1, , , 
1,17,507,526
1, , , 
2, , , 
1,17,544,520
2, , , 
1,21,487,495
1,26,468,532
2, , , 
1,20,527,542
1,23,477,523
2,21,505,488
2, , , 
2, , , 
2,23,477,515
2, , , 
2,17,436,446
2, , , 
1,24,544,562
1,20,571,572
1,20,571,601
1, , , 
1, , , 
2,23, , 
1,23,553,557
1,24,629,538
1,20,516,578
1, , , 
2,15,527,578
1,20,466,502
1,23,548,567
1,14,485,549
2,29,512,484
1,20,516,529
1,20,447,505
1, , , 
1, , , 
1, , , 
1, , , 
2,24,465,572
2,15,512,518
1, , , 
1, , , 
2,23,499,493
2, , , 
1,26,444,479
2,17,536,515
2,26,414,441
1, , , 
2,15,604,535
2, , , 
2, , , 
1,25,488,505
1,14,579,572
1,18,472,526
2,16,558,545
1,23,651,601
1, , , 
1, , , 
1,24,507,532
1, , , 
2,23,564,567
 , , , 
1, , , 
1,24,499,507
1, , , 
1,18,590,578
1,26,482,507
2, , , 
1,16,604,578
2,19,497,510
2,25,501,500
2,17,472,500
2, , , 
2,23, , 
2, , , 
2, , , 
1, , , 
1,27,533,572
1,16,463,557
1,22,629,653
1, , , 
2, , , 
1,16,629,612
2,25,451,456
1, , , 
1,23,494,562
1,23,604,567
1,20,571,529
1,23,544,562
2,17,533,538
1,22,492,557
2,15,533,612
2,23,490,512
1,23,590,557
2,24,488,510
1,15,492,538
1,15,527,535
1,25,536,612
1, , , 
2,13,533,553
1,22,451,474
1,21,492,495
1,23,629,549
1,22,471,520
1,23,536,557
2,26,505,549
2, , , 
3,22,487,538
2,22,462,490
2, , , 
1, , , 
1,15,564,562
2,12,507,572
1, , , 
1,26,540,567
2,18,544,553
1,15,558,545
2,22,527,627
2,22,553,567
2, , , 
1,14,536,562
2,19,512,479
2,21,564,502
2,20,459,529
2,19,478,500
1,22,548,627
2,17,492,535
1,21,571,562
2, , , 
1,21,590,572
1,14,651,567
1,21,571,572
2,23,571,562
2, , , 
1, , , 
1, , , 
2,15,494,545
1,27,604,601
2,17,512,490
1,17,448,449
1,17,651,601
2,18,533,515
1,21,604,676
2,12,514,557
1,23,533,627
2,21,527,557
2,21,474,500
2,25,428,449
1,24,463,488
1, , , 
1,14, ,549
1,13, , 
1, , , 
2,15,629,562
2,13,579,553
2,23,497,518
1,23,564,529
1,21,558,567
2,15,485,500
1, , , 
2,22,478,545
2,13,651,470
2,22,441,490
2, , , 
1,24,485,538
2,22,483,520
1,22,564,553
2, , , 
1, , , 
2,17,507,518
2,21,459,490
1,25, ,584
1,22,487,479
2, , , 
1, , , 
2,21,540,578
2,22,472,532
2,18,468,500
2,25,530,553
2,17,497,505
2,26,426,470
2, , , 
1, , , 
1, , , 
2,22,478,526
2,22,499,535
2,15,564,601
2,22,495,529
2, , , 
2,29,488,518
2, , , 
1, , , 
2,17,564,592
1,25,536,549
2,19,462,497
2,22,466,495
2,15,474,500
1,26,474,486
2,16,516,510
2,17,507,463
2,15,483,493
2,15,426,479
2,24,468,474
2,24,536,545
2,16,553,578
2, , , 
1,24,590,572
2,25,492,472
2, , , 
2, , , 
2,24,497,535
2, , , 
2, , , 
1,18,524,512
2,20,533,557
2, , , 
2,25,521,479
1, , , 
1, , , 
2, , , 
2, , , 
2,17,487,502
2,21,571, 
1,15,548,529
2, , , 
2, , , 
1, , , 
2, , , 
1,24,485,515
2, , , 
1,24,651,572
2,17,497,542
1,23,485,512
2,24,553,532
1, , , 
2, , , 
2,17,456,495
1,16,564,549
2, , , 
1,22,512,557
1,24,483,515
1, , , 
2,22,564,529
2,21,482,461
2,25,530,572
1,23,456,542
2,21,544,557
2,18,564,523
2,12,604,627
2,22,527,518
2,16,604,553
2, , , 
1,21,509,507
2,21,512,510
1,17,540,592
2,24,441,484
2,24,483,532
2,15,474,549
1,20,507,526
2,15, , 
2,17,441,461
2,20,477,523
1,22,514,532
2,20,459,532
1,14,629,545
1,24,527,529
2,22,492,486
1, , , 
2,23, ,468
1,18,530,584
1,18, ,601
2, , , 
2, , , 
2, , , 
1,14,442,481
2,22,444,526
1,14,604,627
1, , , 
1, , , 
1,24,579,549
2,25,466, 
2, , , 
2,16,512,518
2,24,507,486
1, , , 
1, , , 
2, , , 
2, , , 
1,20,651,584
1,22,571,584
2,20,503,518
1,25,512,542
1,15,590,612
1,23,651,553
1,23,558,538
2,29,463,497
1,21,544,553
2,22,466, 
1, , , 
1,22,604,612
1,15,509,592
2,24,492,532
1,22,553,532
2,17,501,510
1,22,629,572
1,23,465,545
1, , , 
1,22,540,529
2, , , 
1,22, ,461
1,20,548,542
2,24,571,584
1,15,480,542
1,14,530,515
1, , , 
1,17,505,470
1,21,604,584
1,21,629,578
2, , , 
2,23,501,502
1,22,540,526
2,15,536,490
2,20,494,500
2, , , 
1,24,480,505
2, , , 
2, , , 
2,24,507,472
2,23,629,542
2,23,463,505
1, , , 
1,25,544,532
1,26,571,532
2,26,475,523
1,17,477,553
1,25, , 
1,24,564,567
1,14,512,562
2,17,462,470
1,24,629,553
1,16,536,562
1, , , 
1, , , 
2,23, , 
2,18,501,557
1,23,514,545
2,15,454, 
2,26,448,468
1,15,492,538
2,24,527,523
1,24,474,512
1,25,477,493
2, , , 
1,24,544,507
1,17,492,520
1,15,590,567
2,25,475,502
1,17,530,535
1,23,465,500
1,23,651,592
2,14,571,545
1,14,651,592
2, , , 
2,21,512,526
1,23,571,567
2,17,527,592
2,22,450,486
2,22,460,479
1,23,495,545
1, , , 
1, , , 
